id,Analytical,Empirical,Hybrid,ML
16281,0.362801644,0.064969624,0.012654347,0.008759791
21406,0.316221911,0.029298933,0.124913412,0.003519578
19737,0.070542229,0.065290861,0.017167039,0.02303534
20928,0.150987792,0.063697955,0.014560908,0.067154127
15191,0.076859872,0.051517143,0.115780754,0.018259381
16877,0.134331814,0.031713123,0.092288882,0.010088298
22307,0.511434137,0.050511043,0.07447262,0.035787805
12802,0,1,0,0
18024,0.174765794,0.066280713,0.009965876,0.011324089
17863,0.071336998,0.064405226,0.070503816,0.018071767
15260,0.179093932,0.010266944,0.105648191,0.006762786
18358,0.062160229,0.027829305,0.097108962,0.056334445
21109,0.070756299,0.295113274,0.023696672,0.003651823
21403,0.080977473,0.05878636,0.094746185,0.018330633
17430,0.082012366,0.717432432,0.034090967,0.025625722
19271,0.113864223,0.089640428,0.018683173,0.011833046
16036,0.127563504,0.17782864,0.063006012,0.004738667
16665,0.067514553,0.213209609,0.061115991,0.007022484
13564,0,0,1,0
21085,0.446869088,0.015363626,0.064940876,0.003321824
20560,0.5,0.009508137,0.028340303,0.023623345
13366,1,0,0,0
20886,0.270632489,0.32061785,0.014608318,0.006353672
12601,1,0,0,0
16622,0.247902344,0.211638604,0.031048294,0.005824952
18837,0.310836626,0.029368439,0.069007485,0.007763397
16952,0.164538311,0.087466878,0.073163683,0.012239888
20200,0.15415765,0.041810576,0.019944116,0.006374266
19820,0.062670513,0.199337346,0.019749392,0.030593165
16770,0.385674775,0.060588791,0.044021205,0.005313916
16004,0.09291204,0.38112368,0.014522898,0.005354914
19711,0.151751199,0.063520844,0.022152591,0.165542791
12681,0,0,0,0
12795,1,0,0,0
20801,0.819363567,0.033854376,0.026042526,0.00457209
20577,0,0,0,1
21001,0.385432744,0.019133479,0.036470495,0.022410106
18003,0.460003614,0.012328243,0.022011845,0.046708092
21868,0.22199636,0.046542867,0.052751201,0.008526977
20414,0.154505939,0.12264448,0.021307556,0.016989645
22316,0.136718378,0.339166371,0.037954225,0.018677392
18157,0.355742749,0.033216097,0.038685652,0.006072304
12572,1,0,0,0
16252,0.234790408,0.030011817,0.00962986,0.021011203
22077,0.087955726,0.014269023,0.046266781,0.010154929
21071,0.575535779,0.025094902,0.026547041,0.008409379
22273,0.148212404,0.021564634,0.201572939,0.007118397
17353,0,1,0,0
13449,1,0,0,0
17695,0.520127482,0.037534711,0.042130185,0.004319708
16996,0.018766521,0.01970063,0.007244549,0.918464205
18545,0.071565844,0.103793071,0.057124313,0.007714563
15177,0,0,0,1
19960,0.101221689,0.548733735,0.056747859,0.003385808
17995,0.160415695,0.229187111,0.026436254,0.003128069
15291,0.109924697,0.039658078,0.164297273,0.01911329
12582,0,0,1,0
19740,0.289314705,0.060433841,0.084193843,0.025108548
18925,0.125115034,0.134568752,0.11246546,0.008938162
21292,0.136751279,0.026240357,0.021581868,0.016951398
19468,0.34117979,0.033662802,0.03165975,0.011186009
