id,Earthquake,Flood,Tsunami,Hurricane,RC,Wood,Steel,Masonry,Lowrise,Medrise,Regional,Urban,Residential,Govern_Top,Hazard,Material,Type,Locationwise,Usage,Keywords,Approach
21367,0.666800022,0.107199997,0,0,0.046676002,0,0,0.066680002,0.0524,0,0,0,0,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Analytical
20643,0.927600026,0,0,0,0.064932002,0,0,0.092760003,0,0,0,0.034200002,0,Earthquake,Earthquake,Masonry, , , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  ",Empirical
17879,0.696099997,0.013,0,0.0559,0.048727,0,0,0.07076,0,0,0.115000002,0.076200001,0,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Analytical
18874,0.092699997,0.657999992,0,0.017098,0.026889001,0.0206,0,0.009872,0,0.002652,0.060199998,0.042199999,0.015,Flood,Flood, , , , ,"flood, depth, cost, observation, case_study ",Empirical
19636,0.514500022,0.082699999,0,0.139996003,0.036015002,0.081200004,0,0.052233002,0,0,0.078299999,0.089599997,0,Earthquake,Earthquake,Wood, ,Urban, ,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance,  urban, block, energy, ",Empirical
12600,0.770799994,0,0,0.018508999,0.053956,0.022299999,0,0.077079999,0.138699993,0,0,0,0,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Empirical
12775,0.587499976,0.0253,0,0.041085,0.041124998,0.0495,0,0.060875998,0,0,0.212599993,0,0.0255,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Hybrid
20839,0.757200003,0.014,0,0,0.143404003,0,0,0.075839,0,0.011752,0.0119,0.0363,0.048999999,Earthquake,Earthquake,RC, , , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  ",Empirical
21179,0.721199989,0,0,0.018094,0.050483999,0.0832,0,0.072782999,0,0,0.066299997,0,0.034600001,Earthquake,Earthquake,Wood, , , ,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance,  ",Analytical
20761,0.589299977,0.226400003,0,0.092600003,0.041250998,0.036400001,0,0.058929998,0,0,0,0,0.018100001,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
